"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
31,"OBD.ours0",73.42,21.5,3.02,0.34,0.04,
31,"MTD.bf",35.4,47.56,13.42,2.22,0.12,1.28
31,"OBD.bf",71.9,21.9,3.92,0.54,0.06,
31,"MTD.ours1",33.94,47.4,14.36,2.42,0.36,1.52
31,"OBD.ours1",71.92,21.88,3.82,0.3,0.06,
31,"MTD.ours2",33.84,48.28,14.06,2.08,0.36,1.38
31,"OBD.ours2",71.72,22.14,3.84,0.34,0.04,
31,"MTD.ours3",35.6,47.68,12.84,2.46,0.16,1.26
31,"OBD.ours3",73.3,20.44,3.66,0.6,0.04,
31,"MTD.titeet",36.5,46.3,13.1,3,0.4,1.4
31,"OBD.titeet",61,26.5,8.6,2.2,0.3,
31,"MTD.tite12",13.4,38.4,27.8,11.3,5.9,3.1
31,"OBD.tite12",54.9,26.6,10.6,3.4,1.5,
31,"MTD.bfet",,,,,,1.5
31,"OBD.bfet",73.8,20.8,3.3,0.5,0.1,
24,"MTD.ours0",0.04,0.34,2.44,26.68,70.5,0
24,"OBD.ours0",1.76,5.76,10.52,58.88,22.62,
24,"MTD.bf",0,0.3,2.46,27.58,69.66,0
24,"OBD.bf",2.18,4.76,10.1,59.54,23.24,
24,"MTD.ours1",0.04,0.32,2.7,25.92,71.02,0
24,"OBD.ours1",2.4,5.6,10.76,57.86,22.8,
24,"MTD.ours2",0,0.36,2.7,26.86,70.08,0
24,"OBD.ours2",2.1,6.56,10.74,58.46,21.8,
24,"MTD.ours3",0,0.24,2.58,25.98,71.2,0
24,"OBD.ours3",1.76,5.7,10.02,56.46,25.72,
24,"MTD.titeet",0,0.3,3.7,43,53,0.1
24,"OBD.titeet",8.3,14.1,13.9,44.9,18.8,
24,"MTD.tite12",0,0.4,3.7,20,75.7,0.2
24,"OBD.tite12",7.9,10.6,13,47.5,20.7,
24,"MTD.bfet",,,,,,0.3
24,"OBD.bfet",4.2,6.9,11.8,56,20.8,
23,"MTD.ours0",0.08,2.28,23.28,55.74,18.62,0
23,"OBD.ours0",2.5,5.86,63.58,23.12,4.1,
